	Trait	TrainSet	ValidSet	Model	Test_Accuracy	Valid_Accuracy	MSE	Runtime	Leaves	Trees
0	smut	[2, 3, 4, 5]	1	RF	0.3303474196314294	0.09764720485768255	4.0771480096726185	0.0	50.0	50.0
1	smut	[2, 3, 4, 5]	1	RF	0.3303474196314294	0.09764720485768255	4.0771480096726185	0.0	50.0	50.0
2	smut	[2, 3, 4, 5]	1	RF	0.3303474196314294	0.09764720485768255	4.0771480096726185	0.0	50.0	50.0
3	smut	[2, 3, 4, 5]	1	RF	0.3466630299700581	0.11461615123015872	4.010231088262649	0.0	50.0	100.0
4	smut	[2, 3, 4, 5]	1	RF	0.3466630299700581	0.11461615123015872	4.010231088262649	0.0	50.0	100.0
5	smut	[2, 3, 4, 5]	1	RF	0.3466630299700581	0.11461615123015872	4.010231088262649	0.0	50.0	100.0
6	smut	[2, 3, 4, 5]	1	RF	0.35136322884830923	0.10736667631874755	3.998847536528088	0.0	50.0	200.0
7	smut	[2, 3, 4, 5]	1	RF	0.35136322884830923	0.10736667631874755	3.998847536528088	0.0	50.0	200.0
8	smut	[2, 3, 4, 5]	1	RF	0.35136322884830923	0.10736667631874755	3.998847536528088	0.0	50.0	200.0
9	smut	[2, 3, 4, 5]	1	RF	0.35769631571297683	0.09739597565757034	3.99769561413936	0.0	50.0	500.0
10	smut	[2, 3, 4, 5]	1	RF	0.35769631571297683	0.09739597565757034	3.99769561413936	0.0	50.0	500.0
11	smut	[2, 3, 4, 5]	1	RF	0.35769631571297683	0.09739597565757034	3.99769561413936	0.0	50.0	500.0
12	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	100.0	50.0
13	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	100.0	50.0
14	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.04622750976866552	4.152175750248015	0.0	100.0	50.0
15	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	100.0	100.0
16	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	100.0	100.0
17	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.0522509238406539	4.119213465711806	0.0	100.0	100.0
18	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	100.0	200.0
19	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	100.0	200.0
20	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	100.0	200.0
21	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	100.0	500.0
22	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	100.0	500.0
23	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	100.0	500.0
24	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	500.0	50.0
25	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	500.0	50.0
26	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	500.0	50.0
27	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	500.0	100.0
28	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	500.0	100.0
